[2025-04-23 21:43:46] 提交答案: quiz_id=None, question_index=0, selected_option=选项A, selected_index=0[2025-04-24 03:32:07] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:32:09] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=1, selected_option=选项C, selected_index=2
[2025-04-24 03:32:10] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 03:32:11] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=3, selected_option=选项B, selected_index=1
[2025-04-24 03:32:12] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=4, selected_option=选项A, selected_index=0
[2025-04-24 03:32:14] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=5, selected_option=选项D, selected_index=3
[2025-04-24 03:32:15] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=6, selected_option=选项C, selected_index=2
[2025-04-24 03:33:34] 提交答案: quiz_id=c6d42aac-7245-42ac-ae06-43c8e07fa943, question_index=0, selected_option=选项D, selected_index=3
[2025-04-24 03:33:37] 提交答案: quiz_id=c6d42aac-7245-42ac-ae06-43c8e07fa943, question_index=1, selected_option=选项B, selected_index=1
[2025-04-24 03:33:38] 提交答案: quiz_id=c6d42aac-7245-42ac-ae06-43c8e07fa943, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 03:33:40] 提交答案: quiz_id=c6d42aac-7245-42ac-ae06-43c8e07fa943, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 03:33:41] 提交答案: quiz_id=c6d42aac-7245-42ac-ae06-43c8e07fa943, question_index=4, selected_option=选项D, selected_index=3
[2025-04-24 03:33:43] 提交答案: quiz_id=c6d42aac-7245-42ac-ae06-43c8e07fa943, question_index=5, selected_option=选项B, selected_index=1
[2025-04-24 03:33:44] 提交答案: quiz_id=c6d42aac-7245-42ac-ae06-43c8e07fa943, question_index=6, selected_option=选项A, selected_index=0
[2025-04-24 03:35:33] 提交答案: quiz_id=a3f63658-67ba-4ec3-83b9-ed34b72f9969, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:35:34] 提交答案: quiz_id=a3f63658-67ba-4ec3-83b9-ed34b72f9969, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 03:35:35] 提交答案: quiz_id=a3f63658-67ba-4ec3-83b9-ed34b72f9969, question_index=2, selected_option=选项A, selected_index=0
[2025-04-24 03:35:36] 提交答案: quiz_id=a3f63658-67ba-4ec3-83b9-ed34b72f9969, question_index=3, selected_option=选项B, selected_index=1
[2025-04-24 03:35:37] 提交答案: quiz_id=a3f63658-67ba-4ec3-83b9-ed34b72f9969, question_index=4, selected_option=选项A, selected_index=0
[2025-04-24 03:35:39] 提交答案: quiz_id=a3f63658-67ba-4ec3-83b9-ed34b72f9969, question_index=5, selected_option=选项D, selected_index=3
[2025-04-24 03:35:41] 提交答案: quiz_id=a3f63658-67ba-4ec3-83b9-ed34b72f9969, question_index=6, selected_option=选项C, selected_index=2
[2025-04-24 03:39:29] 提交答案: quiz_id=320fdd5f-500a-4385-aca9-16395bdc1330, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:39:30] 提交答案: quiz_id=320fdd5f-500a-4385-aca9-16395bdc1330, question_index=1, selected_option=选项B, selected_index=1
[2025-04-24 03:39:32] 提交答案: quiz_id=320fdd5f-500a-4385-aca9-16395bdc1330, question_index=2, selected_option=选项A, selected_index=0
[2025-04-24 03:39:33] 提交答案: quiz_id=320fdd5f-500a-4385-aca9-16395bdc1330, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 03:39:34] 提交答案: quiz_id=320fdd5f-500a-4385-aca9-16395bdc1330, question_index=4, selected_option=选项D, selected_index=3
[2025-04-24 03:39:35] 提交答案: quiz_id=320fdd5f-500a-4385-aca9-16395bdc1330, question_index=5, selected_option=选项B, selected_index=1
[2025-04-24 03:39:36] 提交答案: quiz_id=320fdd5f-500a-4385-aca9-16395bdc1330, question_index=6, selected_option=选项A, selected_index=0
[2025-04-24 03:40:56] 提交答案: quiz_id=8b03cc0a-fe96-4060-92b9-567522ea4d54, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:40:57] 提交答案: quiz_id=8b03cc0a-fe96-4060-92b9-567522ea4d54, question_index=1, selected_option=选项B, selected_index=1
[2025-04-24 03:40:59] 提交答案: quiz_id=8b03cc0a-fe96-4060-92b9-567522ea4d54, question_index=2, selected_option=选项C, selected_index=2
[2025-04-24 03:41:00] 提交答案: quiz_id=8b03cc0a-fe96-4060-92b9-567522ea4d54, question_index=3, selected_option=选项D, selected_index=3
[2025-04-24 03:41:01] 提交答案: quiz_id=8b03cc0a-fe96-4060-92b9-567522ea4d54, question_index=4, selected_option=选项B, selected_index=1
[2025-04-24 03:41:02] 提交答案: quiz_id=8b03cc0a-fe96-4060-92b9-567522ea4d54, question_index=5, selected_option=选项A, selected_index=0
[2025-04-24 03:41:03] 提交答案: quiz_id=8b03cc0a-fe96-4060-92b9-567522ea4d54, question_index=6, selected_option=选项C, selected_index=2
[2025-04-24 03:42:19] 提交答案: quiz_id=ef73519a-cd71-4d0c-9ed7-d668b68eebbe, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:42:20] 提交答案: quiz_id=ef73519a-cd71-4d0c-9ed7-d668b68eebbe, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 03:42:21] 提交答案: quiz_id=ef73519a-cd71-4d0c-9ed7-d668b68eebbe, question_index=2, selected_option=选项C, selected_index=2
[2025-04-24 03:42:23] 提交答案: quiz_id=ef73519a-cd71-4d0c-9ed7-d668b68eebbe, question_index=3, selected_option=选项A, selected_index=0
[2025-04-24 03:42:23] 提交答案: quiz_id=ef73519a-cd71-4d0c-9ed7-d668b68eebbe, question_index=4, selected_option=选项B, selected_index=1
[2025-04-24 03:42:24] 提交答案: quiz_id=ef73519a-cd71-4d0c-9ed7-d668b68eebbe, question_index=5, selected_option=选项D, selected_index=3
[2025-04-24 03:42:25] 提交答案: quiz_id=ef73519a-cd71-4d0c-9ed7-d668b68eebbe, question_index=6, selected_option=选项C, selected_index=2
[2025-04-24 03:47:50] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:47:51] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 03:47:52] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 03:47:54] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 03:47:55] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=4, selected_option=选项A, selected_index=0
[2025-04-24 03:47:56] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=5, selected_option=选项B, selected_index=1
[2025-04-24 03:47:57] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=6, selected_option=选项D, selected_index=3
[2025-04-24 03:48:14] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=-1, selected_option=选项A, selected_index=0
[2025-04-24 03:48:16] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=-1, selected_option=选项A, selected_index=0
[2025-04-24 03:48:17] 提交答案: quiz_id=399fb672-7970-457c-a144-c56d888005b8, question_index=-1, selected_option=选项B, selected_index=1
[2025-04-24 03:49:26] 提交答案: quiz_id=31cc8d14-cf08-4c22-af80-2a0830ada65a, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:49:27] 提交答案: quiz_id=31cc8d14-cf08-4c22-af80-2a0830ada65a, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 03:49:28] 提交答案: quiz_id=31cc8d14-cf08-4c22-af80-2a0830ada65a, question_index=2, selected_option=选项C, selected_index=2
[2025-04-24 03:49:29] 提交答案: quiz_id=31cc8d14-cf08-4c22-af80-2a0830ada65a, question_index=3, selected_option=选项A, selected_index=0
[2025-04-24 03:49:31] 提交答案: quiz_id=31cc8d14-cf08-4c22-af80-2a0830ada65a, question_index=4, selected_option=选项B, selected_index=1
[2025-04-24 03:49:32] 提交答案: quiz_id=31cc8d14-cf08-4c22-af80-2a0830ada65a, question_index=5, selected_option=选项D, selected_index=3
[2025-04-24 03:49:33] 提交答案: quiz_id=31cc8d14-cf08-4c22-af80-2a0830ada65a, question_index=6, selected_option=选项C, selected_index=2
[2025-04-24 10:25:53] 提交答案: quiz_id=e7d1d602-60ea-48b3-b121-6a237b575557, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 10:25:55] 提交答案: quiz_id=e7d1d602-60ea-48b3-b121-6a237b575557, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 10:25:56] 提交答案: quiz_id=e7d1d602-60ea-48b3-b121-6a237b575557, question_index=2, selected_option=选项B, selected_index=1
[2025-04-24 10:25:58] 提交答案: quiz_id=e7d1d602-60ea-48b3-b121-6a237b575557, question_index=3, selected_option=选项A, selected_index=0
[2025-04-24 10:25:59] 提交答案: quiz_id=e7d1d602-60ea-48b3-b121-6a237b575557, question_index=4, selected_option=选项D, selected_index=3
[2025-04-24 10:46:58] 提交答案: quiz_id=f19f4dea-f93a-42e5-bca2-6c2f179e836a, question_index=0, selected_option=选项C, selected_index=2
[2025-04-24 10:46:59] 提交答案: quiz_id=f19f4dea-f93a-42e5-bca2-6c2f179e836a, question_index=1, selected_option=选项B, selected_index=1
[2025-04-24 10:47:00] 提交答案: quiz_id=f19f4dea-f93a-42e5-bca2-6c2f179e836a, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 10:47:02] 提交答案: quiz_id=f19f4dea-f93a-42e5-bca2-6c2f179e836a, question_index=3, selected_option=选项A, selected_index=0
[2025-04-24 10:47:04] 提交答案: quiz_id=f19f4dea-f93a-42e5-bca2-6c2f179e836a, question_index=4, selected_option=选项B, selected_index=1
[2025-04-24 12:09:30] 提交答案: quiz_id=941425b4-b7d0-48eb-8188-3d3d886d9e33, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 12:09:31] 提交答案: quiz_id=941425b4-b7d0-48eb-8188-3d3d886d9e33, question_index=1, selected_option=选项C, selected_index=2
[2025-04-24 12:09:32] 提交答案: quiz_id=941425b4-b7d0-48eb-8188-3d3d886d9e33, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 12:09:33] 提交答案: quiz_id=941425b4-b7d0-48eb-8188-3d3d886d9e33, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 12:09:35] 提交答案: quiz_id=941425b4-b7d0-48eb-8188-3d3d886d9e33, question_index=4, selected_option=选项B, selected_index=1
[2025-04-24 12:16:39] 提交答案: quiz_id=bdbe964a-bdb7-4ef1-aa67-20bf303a0ed2, question_index=0, selected_option=选项D, selected_index=3
[2025-04-24 12:16:41] 提交答案: quiz_id=bdbe964a-bdb7-4ef1-aa67-20bf303a0ed2, question_index=1, selected_option=选项B, selected_index=1
[2025-04-24 12:16:42] 提交答案: quiz_id=bdbe964a-bdb7-4ef1-aa67-20bf303a0ed2, question_index=2, selected_option=选项A, selected_index=0
[2025-04-24 12:16:43] 提交答案: quiz_id=bdbe964a-bdb7-4ef1-aa67-20bf303a0ed2, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 12:16:45] 提交答案: quiz_id=bdbe964a-bdb7-4ef1-aa67-20bf303a0ed2, question_index=4, selected_option=选项D, selected_index=3
[2025-04-24 12:23:11] 提交答案: quiz_id=90fffcfc-0261-4cd0-8c34-b6bd0c05c9c1, question_index=0, selected_option=选项D, selected_index=3
[2025-04-24 12:23:12] 提交答案: quiz_id=90fffcfc-0261-4cd0-8c34-b6bd0c05c9c1, question_index=1, selected_option=选项B, selected_index=1
[2025-04-24 12:23:13] 提交答案: quiz_id=90fffcfc-0261-4cd0-8c34-b6bd0c05c9c1, question_index=2, selected_option=选项A, selected_index=0
[2025-04-24 12:23:14] 提交答案: quiz_id=90fffcfc-0261-4cd0-8c34-b6bd0c05c9c1, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 12:23:16] 提交答案: quiz_id=90fffcfc-0261-4cd0-8c34-b6bd0c05c9c1, question_index=4, selected_option=选项D, selected_index=3
[2025-04-24 12:23:17] 提交答案: quiz_id=90fffcfc-0261-4cd0-8c34-b6bd0c05c9c1, question_index=5, selected_option=选项B, selected_index=1
[2025-04-24 12:23:19] 提交答案: quiz_id=90fffcfc-0261-4cd0-8c34-b6bd0c05c9c1, question_index=6, selected_option=选项A, selected_index=0
[2025-04-24 12:28:33] 提交答案: quiz_id=56249677-3cc2-4f45-ba59-e95836cda21e, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 12:28:34] 提交答案: quiz_id=56249677-3cc2-4f45-ba59-e95836cda21e, question_index=1, selected_option=选项B, selected_index=1
[2025-04-24 12:28:35] 提交答案: quiz_id=56249677-3cc2-4f45-ba59-e95836cda21e, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 12:28:36] 提交答案: quiz_id=56249677-3cc2-4f45-ba59-e95836cda21e, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 12:28:37] 提交答案: quiz_id=56249677-3cc2-4f45-ba59-e95836cda21e, question_index=4, selected_option=选项A, selected_index=0
[2025-04-24 12:28:38] 提交答案: quiz_id=56249677-3cc2-4f45-ba59-e95836cda21e, question_index=5, selected_option=选项D, selected_index=3
[2025-04-24 12:28:39] 提交答案: quiz_id=56249677-3cc2-4f45-ba59-e95836cda21e, question_index=6, selected_option=选项C, selected_index=2
[2025-04-24 12:36:00] 提交答案: quiz_id=c3500671-6634-481c-bc6c-ca83018bcb17, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 12:36:01] 提交答案: quiz_id=c3500671-6634-481c-bc6c-ca83018bcb17, question_index=1, selected_option=选项A, selected_index=0
[2025-04-24 12:36:02] 提交答案: quiz_id=c3500671-6634-481c-bc6c-ca83018bcb17, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 12:36:03] 提交答案: quiz_id=c3500671-6634-481c-bc6c-ca83018bcb17, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 12:36:04] 提交答案: quiz_id=c3500671-6634-481c-bc6c-ca83018bcb17, question_index=4, selected_option=选项B, selected_index=1
